visitID,Nest ID,Species,Visit Num,Date,Trials,Year_autoCalc,TimeofDay,Observers,Exposure days,Stage,Host Eggs,Host chicks,Parasite eggs,Parasite chicks,Banded,Camera,Measure,Survived,Abandoned,Predation,Fledge,Predator,Camera type,Female on?,Human Visit,COMMENT
16,PYS 3 12,,1,5/18/2012,1,,11:00:00 PM,,1,Incubation,4,0,1,0,0,1,,1,0,0,,None,Wal-mart,0,0,
17,PYS 3 12,,2,5/19/2012,1,,11:00:00 PM,,1,Incubation,4,0,1,0,0,1,,1,0,0,,None,Wal-mart,1,0,
18,PYS 3 12,,3,5/20/2012,1,,9:38:00 AM,,1,Incubation,4,0,1,0,0,1,,1,0,0,,None,Wal-mart,1,1,
19,PYS 3 12,,4,5/21/2012,1,,7:38:00 AM,,1,Incubation,4,0,1,0,0,1,,1,0,0,,None,Wal-mart,1,1,
20,PYW 2 12,,0,5/16/2012,1,,8:39:00 AM,,0,Incubation,3,0,2,0,1,0,,1,0,0,,None,NONE,1,1,
21,PYW 2 12,,1,5/18/2012,1,,7:00:00 AM,,2,Incubation,3,0,2,0,1,0,,1,0,0,,None,NONE,0,1,
22,PYW 2 12,,2,5/21/2012,1,,9:00:00 AM,,3,Incubation,3,0,2,0,1,0,,1,0,0,,None,NONE,0,1,
23,PYN ME 1 12,,0,5/19/2012,1,,6:31:00 AM,,0,Incubation,5,0,2,0,0,0,,1,0,0,,None,NONE,1,1,
24,PYN ME 1 12,,1,5/21/2012,1,,8:50:00 AM,,2,Incubation,5,0,2,0,0,0,,1,0,0,,None,NONE,0,1,
25,PYS 1 12,,0,5/17/2012,1,,7:36:00 AM,,0,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
26,PYS 1 12,,1,5/20/2012,1,,9:48:00 AM,,3,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
27,PYS 1 12,,2,5/21/2012,1,,6:20:00 AM,,1,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
28,PYS 2 12,,0,5/17/2012,1,,8:08:00 AM,,0,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
29,PYS 2 12,,1,5/18/2012,1,,10:30:00 AM,,1,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
30,PYS 2 12,,2,5/21/2012,1,,7:02:00 AM,,3,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
31,PYN 1 12,,0,5/19/2012,1,,7:26:00 AM,,0,Incubation,1,0,1,0,0,0,,1,0,0,,None,Bullet,1,1,
32,PYN 1 12,,1,5/20/2012,1,,7:52:00 AM,,1,Incubation,1,0,1,0,0,1,,1,0,0,,None,Bullet,1,1,
33,PYS ME 2 12,,0,5/17/2012,1,,7:54:00 AM,,0,Incubation,6,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
34,PYS ME 2 12,,1,5/20/2012,1,,9:50:00 AM,,3,Incubation,6,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
35,PYN ME 2 12,,0,5/19/2012,1,,8:20:00 AM,,0,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
36,PYN ME 3 12,,0,5/19/2012,1,,9:19:00 AM,,0,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
40,PYN 1 12,,2,5/21/2012,1,,8:44:00 AM,,1,Incubation,1,0,1,0,0,0,,1,0,0,,None,NONE,0,1,Banded today
41,PYW 1 12,,5,5/20/2012,1,,11:30:00 AM,,1,Nestling,0,5,0,0,1,1,,1,0,0,,None,Wal-mart,0,1,
42,PYW 1 12,,6,5/23/2012,1,,11:06:00 AM,,3,Nestling,0,4,0,0,1,1,,1,0,1,,UNK,Wal-mart,0,1,
43,PYW 1 12,,7,5/24/2012,1,,11:00:00 PM,,1,Nestling,0,4,0,0,1,1,,1,0,0,,None,Wal-mart,1,0,
44,PYW 1 12,,8,5/25/2012,1,,11:00:00 PM,,1,Nestling,0,4,0,0,1,1,,1,0,0,,None,Wal-mart,1,0,
45,PYW 1 12,,9,5/26/2012,1,,9:46:00 AM,,1,Nestling,0,4,0,0,1,0,,1,0,0,,None,Wal-mart,0,1,"Weighed chicks, fledge today, one day early."
47,KLN 1 12,,0,5/24/2012,1,,6:49:00 AM,,0,Incubation,5,0,1,0,0,0,,1,0,0,,None,NONE,1,1,nest located today. 6 total eggs
48,KLN 1 12,,1,5/25/2012,1,,1:05:00 PM,,1,Incubation,5,0,1,0,0,0,,1,0,0,,None,NONE,0,1,"Banded on this date, so 1day interval could not have incl. banding=1."
49,KLN 1 12,,2,5/26/2012,1,,12:20:00 PM,,1,Incubation,5,0,1,0,1,0,,1,1,0,,None,Wal-mart,0,1,"Not on nest, but near nest. Could have abandoned after banding. Placed camera today, but never returned to nest"
50,LEE 9 12,,0,5/22/2012,1,,9:59:00 AM,,0,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,Nest Found
51,LEE 9 12,,1,5/23/2012,1,,8:24:00 AM,,1,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,Banded today
52,LEE 9 12,,2,5/26/2012,1,,11:27:00 AM,,3,Incubation,5,0,0,0,1,0,,0,0,1,,UNK,NONE,0,1,"Predation, nest emptied (Check to see if this is proper way to enter contents)"
53,LEE 11 12,,0,5/22/2012,1,,10:32:00 AM,,0,Incubation,4,0,1,0,0,0,,1,0,0,,None,NONE,1,1,Nest found
54,LEE 11 12,,1,5/23/2012,1,,8:54:00 AM,,1,Incubation,3,0,1,0,0,0,,1,1,1,,UNK,NONE,0,1,"Nest likely abandonded. No chip, cold. Ttried banding but not at nest, nor did she return"
55,PYN 1 12,,3,5/23/2012,1,,11:40:00 AM,,2,Incubation,1,0,1,0,1,0,,1,0,0,,None,NONE,0,1,
56,PYN 1 12,,4,5/24/2012,1,,7:20:00 PM,,1,Nestling,0,1,0,0,1,0,,0,0,1,,UNK,NONE,0,1,"Nest failed, 1 dead nestling in nest"
57,PYN 2 12,,0,5/23/2012,1,,9:30:00 AM,,0,Incubation,4,0,0,0,0,0,,0,1,0,,None,NONE,0,1,Eggs broken. Delete this reccord for survival analysis
58,PYS 3 12,,5,5/23/2012,1,,10:37:00 AM,,2,Incubation,4,0,1,0,1,1,,0,0,1,,UNK,Wal-mart,0,1,"Found failed, camera deplyoed but cattle knocked it over"
59,PYS 4 12,,0,5/17/2012,1,,9:33:00 AM,,0,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,Nest found
60,PYS 4 12,,1,5/18/2012,1,,9:45:00 AM,,1,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,Banded today. Did not fly well at release
61,PYS 4 12,,2,5/20/2012,1,,10:09:00 AM,,2,Incubation,5,0,0,0,1,0,,0,0,1,,UNK,NONE,0,1,"Nest empty, area looked trampled, cattle ate flags, but female might not have returned to nest. See previous comment"
62,PYN ME 2 12,,1,5/22/2012,1,,12:36:00 PM,,3,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
63,PYN ME 2 12,,2,5/26/2012,1,,9:19:00 AM,,4,Incubation,5,0,0,0,0,0,,1,0,1,,UNK,NONE,1,1,
64,PYN ME 2 12,,3,5/29/2012,1,,12:40:00 PM,,3,Incubation,4,0,0,0,0,0,,1,0,0,,None,NONE,0,1,
65,PYN ME 3 12,,1,5/22/2012,1,,12:20:00 PM,,3,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
66,PYN ME 3 12,,2,5/24/2012,1,,7:00:00 PM,,2,Incubation,5,0,2,0,0,0,,1,0,0,,None,NONE,0,1,
67,PYN ME 3 12,,3,5/25/2012,1,,7:38:00 AM,,1,Incubation,5,0,2,0,0,0,,1,0,0,,None,NONE,1,1,
68,PYN ME 3 12,,4,5/28/2012,1,,5:40:00 PM,,3,Incubation,5,0,2,0,0,0,,1,0,1,,UNK,NONE,0,1,4 host egg/young removed
70,LEE 13 12,,0,5/23/2012,1,,6:55:00 AM,,0,Incubation,4,0,0,0,0,0,,1,0,0,,None,NONE,1,1,"Nest found, camera placed today"
71,LEE 13 12,,2,5/25/2012,1,,12:09:00 PM,,1,Incubation,4,0,0,0,0,1,,1,0,0,,None,Bullet,1,1,banded today
72,LEE 13 12,,3,5/26/2012,1,,11:00:00 PM,,1,Incubation,4,0,0,0,1,1,,1,0,0,,None,Bullet,1,0,camera only
73,LEE 13 12,,1,5/24/2012,1,,11:00:00 PM,,1,Incubation,4,0,0,0,0,1,,1,0,0,,None,Bullet,1,0,
74,LEE 13 12,,4,5/27/2012,1,,6:41:00 AM,,1,Incubation,4,0,0,0,1,1,,1,0,0,,None,Bullet,0,1,
75,LEE 3 12,,0,5/22/2012,1,,7:33:00 AM,,0,Incubation,3,0,1,0,0,0,,1,0,0,,None,NONE,1,1,"Nest found, still laying"
76,LEE 3 12,,1,5/23/2012,1,,9:30:00 AM,,1,Incubation,4,0,1,0,0,1,,1,0,0,,None,Bullet,0,1,banding attempt failed
77,LEE 3 12,,2,5/24/2012,1,,11:00:00 PM,,1,Incubation,4,0,1,0,0,1,,1,0,0,,None,Bullet,1,0,
78,LEE 3 12,,3,5/25/2012,1,,6:06:00 AM,,1,Incubation,4,0,1,0,0,1,,1,0,0,,None,Bullet,0,1,banded today
79,LEE 3 12,,4,5/26/2012,1,,11:00:00 PM,,1,Incubation,4,0,1,0,1,1,,1,0,0,,None,Bullet,1,0,
80,LEE 3 12,,5,5/27/2012,1,,11:00:00 PM,,1,Incubation,4,0,1,0,1,1,,1,0,0,,None,Bullet,1,0,
81,LEE 3 12,,6,5/28/2012,1,,4:40:00 PM,,1,Incubation,4,0,1,0,1,1,,1,0,0,,None,Bullet,0,1,
82,LEE 5 12,,0,5/22/2012,1,,8:07:00 AM,,0,Incubation,4,0,1,0,0,0,,1,0,0,,None,NONE,1,1,Nest found
83,LEE 5 12,,1,5/24/2012,1,,8:00:00 PM,,2,Incubation,4,0,1,0,0,0,,1,0,0,,None,NONE,1,1,
84,LEE 5 12,,2,5/25/2012,1,,7:35:00 AM,,1,Nestling,3,1,0,0,0,0,,1,0,0,,None,NONE,0,1,Banded today
85,LEE 5 12,,3,5/28/2012,1,,4:26:00 PM,,3,Nestling,2,2,0,1,1,0,,1,0,0,,None,NONE,1,1,
86,LEE 2 12,,0,5/22/2012,1,,7:21:00 AM,,0,Incubation,3,0,1,0,0,0,,1,0,0,,None,NONE,1,1,Nest Found
87,LEE 2 12,,1,5/25/2012,1,,7:00:00 AM,,3,Incubation,3,0,1,0,0,0,,1,0,0,,None,NONE,1,1,"hatched today, banded today"
88,LEE 2 12,,2,5/28/2012,1,,4:44:00 PM,,3,Nestling,1,2,0,1,1,0,,1,0,0,,None,NONE,0,1,
89,RIS HESP 1 12,,0,5/29/2012,1,,8:22:00 AM,,0,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,Found nest
90,RIS HESP 1 12,,1,6/1/2012,1,,8:50:00 AM,,3,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,0,1,
91,STE BOBO 2 12,,0,5/28/2012,1,,7:01:00 AM,,0,Incubation,1,0,0,0,0,0,,1,0,0,,None,NONE,1,1,Still Laying
92,STE BOBO 2 12,,1,5/31/2012,1,,7:52:00 AM,,3,Incubation,1,0,0,0,0,0,,1,0,0,,None,NONE,0,1,
93,STE DICK 3 12,,0,5/28/2012,1,,6:51:00 AM,,0,Incubation,4,0,1,0,0,0,,1,0,0,,None,NONE,1,1,Found nest
94,STE DICK 3 12,,1,6/1/2012,1,,7:48:00 AM,,4,Incubation,4,0,1,0,0,0,,1,0,0,,None,NONE,1,1,
95,STE DICK 4 12,,0,5/28/2012,1,,10:02:00 AM,,0,Incubation,3,0,1,0,0,0,,1,0,0,,None,NONE,1,1,Found nest
97,STE DICK 1 12,,0,5/28/2012,1,,6:10:00 AM,,0,Building,0,0,0,0,0,0,,1,0,0,,None,NONE,1,1,still building
98,STE DICK 1 12,,1,6/1/2012,1,,7:44:00 AM,,4,Laying,0,0,0,0,0,0,,1,0,0,,None,NONE,1,1,first eggs at this visit
99,STE BOBO 1 12,,0,5/28/2012,1,,6:03:00 AM,,0,Incubation,6,0,0,0,0,0,,1,0,0,,None,NONE,1,1,found nest
100,STE BOBO 1 12,,1,6/1/2012,1,,7:41:00 AM,,4,Incubation,6,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
101,STE BOBO 4 12,,0,5/28/2012,1,,8:35:00 AM,,0,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,found nest
102,STE BOBO 4 12,,1,6/1/2012,1,,7:27:00 AM,,4,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
103,STE BOBO 3 12,,0,5/28/2012,1,,8:06:00 AM,,0,Incubation,3,0,2,0,0,0,,1,0,0,,None,NONE,1,1,found nest
104,STE BOBO 3 12,,1,6/1/2012,1,,7:29:00 AM,,4,Incubation,3,0,2,0,0,0,,1,0,0,,None,NONE,1,1,
105,STE DICK 2 12,,0,5/28/2012,1,,8:40:00 AM,,0,Incubation,3,0,1,0,0,0,,1,0,0,,None,NONE,1,1,found nest
106,STE DICK 2 12,,1,6/1/2012,1,,7:38:00 AM,,4,Incubation,3,0,1,0,0,0,,1,0,0,,None,NONE,1,1,
107,STE ME 3 12,,0,5/28/2012,1,,9:43:00 AM,,0,Incubation,4,0,1,0,0,0,,1,0,0,,None,NONE,1,1,found nest
108,STE ME 3 12,,1,6/1/2012,1,,8:23:00 AM,,4,Incubation,4,0,1,0,0,0,,1,0,0,,None,NONE,0,1,1-2days old
109,STE DICK 10 12,,0,5/28/2012,1,,11:42:00 AM,,0,Incubation,3,0,2,0,0,0,,1,0,0,,None,NONE,1,1,found nest
110,STE DICK 10 12,,1,6/1/2012,1,,8:29:00 AM,,4,Incubation,3,0,2,0,0,0,,1,0,0,,None,NONE,1,1,
111,STE DICK 5 12,,0,5/28/2012,1,,10:42:00 AM,,0,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,nest found
112,STE DICK 5 12,,1,6/1/2012,1,,8:29:00 AM,,4,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
113,STE DICK 6 12,,0,5/28/2012,1,,10:51:00 AM,,0,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,found nest
114,STE DICK 6 12,,1,6/1/2012,1,,8:52:00 AM,,4,Incubation,5,0,0,0,0,0,,0,0,1,,UNK,NONE,0,1,failed
115,STE BOBO 5 12,,0,5/28/2012,1,,9:32:00 AM,,0,Laying,2,0,0,0,0,0,,1,0,0,,None,NONE,1,1,found nest
116,STE BOBO 5 12,,1,6/1/2012,1,,8:52:00 AM,,4,Incubation,2,0,0,0,0,0,,1,0,0,,None,NONE,0,1,added three eggs this visit
117,STE BOBO 6 12,,0,5/28/2012,1,,10:26:00 AM,,0,Incubation,6,0,0,0,0,0,,1,0,0,,None,NONE,1,1,found nest
118,STE BOBO 6 12,,1,6/1/2012,1,,8:28:00 AM,,4,Incubation,6,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
119,STE 1 12,,0,5/28/2012,1,,6:37:00 AM,,0,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,found nest
120,STE 1 12,,1,5/30/2012,1,,10:30:00 AM,,2,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,0,1,banded today
121,STE 1 12,,2,6/1/2012,1,,8:10:00 AM,,2,Incubation,5,0,0,0,1,0,,1,0,0,,None,NONE,1,1,placed camera today
122,STE DICK 8 12,,0,5/28/2012,1,,11:17:00 AM,,0,Incubation,4,0,1,0,0,0,,1,0,0,,None,NONE,1,1,found nest
123,STE DICK 8 12,,1,6/1/2012,1,,7:42:00 AM,,4,Incubation,4,0,1,0,0,0,,1,0,0,,None,NONE,1,1,
124,KLN ME 4 12,,0,5/24/2012,1,,11:20:00 AM,,0,Laying,2,0,1,0,0,0,,1,0,0,,None,NONE,1,1,found nest
125,KLN ME 4 12,,1,5/28/2012,1,,2:19:00 PM,,4,Laying,2,0,1,0,0,0,,1,0,0,,None,NONE,1,1,
126,KLN ME 4 12,,2,6/1/2012,1,,6:20:00 AM,,4,Incubation,3,0,1,0,0,0,,1,0,0,,None,NONE,1,1,
127,PYW 3 12,,5,5/21/2012,1,,11:00:00 PM,,1,Incubation,5,0,0,0,1,1,,1,0,0,,None,Bullet,1,0,
128,PYW 3 12,,6,5/22/2012,1,,11:00:00 PM,,1,Incubation,5,0,0,0,1,1,,1,0,0,,None,Bullet,1,0,
129,PYW 3 12,,7,5/23/2012,1,,10:54:00 AM,,1,Incubation,5,0,0,0,1,1,,1,0,0,,None,Bullet,1,1,
130,PYW 3 12,,8,5/24/2012,1,,11:00:00 PM,,1,Incubation,5,0,0,0,1,1,,1,0,0,,None,Bullet,1,0,
131,PYW 3 12,,9,5/25/2012,1,,11:00:00 PM,,1,Nestling,1,4,0,0,1,1,,1,0,1,,GRSP,Bullet,1,0,"chicks hatch, but die in rainstorm"
132,PYW 3 12,,10,5/26/2012,1,,9:30:00 AM,,1,Nestling,0,1,0,0,1,1,,1,0,0,,None,Bullet,1,1,only one chick remaining after eveing on 5/25
133,PYW 3 12,,11,5/27/2012,1,,11:00:00 PM,,1,Nestling,0,1,0,0,1,1,,1,0,0,,None,Bullet,1,0,
134,PYW 3 12,,12,5/28/2012,1,,11:00:00 PM,,1,Nestling,0,1,0,0,1,1,,1,0,0,,None,Bullet,1,0,
135,PYW 3 12,,13,5/29/2012,1,,12:20:00 PM,,1,Nestling,0,1,0,0,1,1,,1,0,0,,None,Bullet,0,1,
136,PYW 3 12,,14,5/30/2012,1,,11:00:00 PM,,1,Nestling,0,1,0,0,1,1,,1,0,0,,None,Bullet,1,0,
137,PYW 3 12,,15,5/31/2012,1,,11:00:00 PM,,1,Nestling,0,1,0,0,1,1,,1,0,0,,None,Bullet,1,0,
138,PYW 3 12,,16,6/1/2012,1,,9:51:00 AM,,1,Nestling,0,1,0,0,1,1,,1,0,0,,None,Bullet,0,1,
139,PYW 2 12,,3,5/22/2012,1,,12:49:00 PM,,1,Incubation,3,0,2,0,1,0,,1,0,0,,None,NONE,1,1,
140,PYW 2 12,,4,5/23/2012,1,,10:31:00 AM,,1,Incubation,3,0,2,0,1,0,,1,0,0,,None,NONE,1,1,
141,PYW 2 12,,5,5/26/2012,1,,9:22:00 AM,,3,Incubation,3,0,2,0,1,0,,1,0,1,,UNK,NONE,0,1,lost 1 host and 1 BHCO egg
142,PYW 2 12,,6,5/29/2012,1,,12:30:00 PM,,3,Nestling,0,2,0,1,1,0,,1,0,0,,None,NONE,0,1,
143,PYW 2 12,,7,6/1/2012,1,,9:50:00 AM,,3,Nestling,0,2,0,1,1,0,,1,0,0,,None,NONE,0,1,"BHCO chick standing up begging, very audible at a distance"
144,PYS 2 12,,3,5/26/2012,1,,10:30:00 AM,,5,Incubation,5,0,0,0,1,0,,1,0,0,,None,NONE,0,1,
145,PYS 2 12,,4,5/28/2012,1,,5:12:00 PM,,2,Incubation,5,0,0,0,1,0,,1,0,0,,None,NONE,0,1,found nestlings this visit
146,PYS 2 12,,5,6/1/2012,1,,10:00:00 AM,,4,Nestling,0,5,0,0,1,0,,1,0,0,,None,NONE,1,1,
147,PYN ME 1 12,,2,5/22/2012,1,,12:44:00 PM,,1,Incubation,5,0,2,0,0,0,,1,0,0,,None,NONE,0,1,
148,PYN ME 1 12,,3,5/23/2012,1,,9:51:00 AM,,1,Incubation,5,0,2,0,0,0,,1,0,0,,None,NONE,0,1,
149,PYN ME 1 12,,4,5/25/2012,1,,7:41:00 AM,,2,Nestling,1,4,0,2,0,0,,1,0,0,,None,NONE,0,1,
150,PYN ME 1 12,,5,5/28/2012,1,,6:00:00 PM,,3,Nestling,0,4,0,1,0,0,,1,0,0,,None,NONE,0,1,
151,PYN ME 1 12,,6,6/1/2012,1,,9:55:00 AM,,4,Nestling,0,4,0,1,0,0,,1,0,0,,None,NONE,0,1,
152,PYS ME 2 12,,2,5/23/2012,1,,9:05:00 AM,,3,Incubation,6,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
153,PYS ME 2 12,,3,5/26/2012,1,,10:26:00 AM,,3,Incubation,6,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
154,PYS ME 2 12,,4,5/28/2012,1,,5:25:00 PM,,2,Incubation,6,0,0,0,0,0,,1,0,0,,None,NONE,0,1,
155,PYS ME 2 12,,5,6/1/2012,1,,10:00:00 AM,,4,Nestling,1,5,0,0,0,0,,1,0,0,,None,NONE,1,1,
156,LEE ME 1 12,,0,5/22/2012,1,,6:26:00 AM,,0,Incubation,7,0,0,0,0,0,,1,0,0,,None,NONE,1,1,found nest
157,LEE ME 1 12,,1,5/26/2012,1,,11:50:00 AM,,4,Incubation,7,0,0,0,0,0,,1,0,0,,None,NONE,0,1,
158,LEE ME 1 12,,2,5/29/2012,1,,1:38:00 PM,,3,Incubation,7,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
159,LEE ME 1 12,,3,6/1/2012,1,,9:29:00 AM,,3,Incubation,7,0,0,0,0,0,,1,0,0,,None,NONE,0,1,"hatched today, so next nest entry  gets nestling stage to describe the next interval"
160,RIS 2 12,,0,5/29/2012,1,,8:40:00 AM,,0,Nestling,2,0,0,2,0,0,,1,0,0,,None,NONE,1,1,placed camera today
161,RIS 2 12,,1,5/30/2012,1,,7:52:00 AM,,1,Nestling,2,0,0,2,0,1,,1,0,0,,None,Wal-mart,1,1,banded today
162,RIS 2 12,,2,5/31/2012,1,,11:00:00 PM,,1,Nestling,2,0,0,2,1,1,,1,0,0,,None,Wal-mart,1,0,
163,RIS 2 12,,3,6/1/2012,1,,8:51:00 AM,,1,Nestling,2,0,0,2,1,1,,1,0,0,,None,Wal-mart,1,1,
164,RIS DICK 1 12,,0,5/29/2012,1,,11:30:00 AM,,0,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,found nest
165,RIS DICK 1 12,,1,6/1/2012,1,,8:47:00 AM,,3,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,
166,RIS ME 1 12,,0,5/29/2012,1,,6:14:00 AM,,0,Incubation,5,0,0,0,0,0,,1,0,0,,None,NONE,1,1,found nest
167,RIS ME 1 12,,1,6/1/2012,1,,8:48:00 AM,,3,Incubation,5,0,0,0,0,0,,0,0,1,,UNK,NONE,0,1,nest smoked
168,RIS 4 12,,0,5/29/2012,1,,10:16:00 AM,,0,Nestling,0,5,0,0,0,0,,1,0,0,,None,NONE,1,1,"found nest, placed camera"
169,RIS 4 12,,1,5/30/2012,1,,6:30:00 AM,,1,Nestling,0,5,0,0,0,1,,1,0,0,,None,Wal-mart,0,1,banded today
170,RIS 4 12,,2,5/31/2012,1,,11:00:00 PM,,1,Nestling,0,5,0,0,1,1,,1,0,0,,None,Wal-mart,1,0,
171,RIS 4 12,,3,6/1/2012,1,,8:53:00 AM,,1,Nestling,0,5,0,0,1,1,,1,0,0,,None,Wal-mart,1,1,Premature fledge due to cattle
172,STE 4 12,,0,5/28/2012,1,,9:12:00 AM,,0,Incubation,6,0,0,0,0,0,,1,0,0,,None,NONE,1,1,found nest placed camera
173,STE 4 12,,1,5/29/2012,1,,11:00:00 PM,,1,Incubation,6,0,0,0,0,1,,1,0,0,,None,Wal-mart,1,0,
174,STE 4 12,,2,5/30/2012,1,,9:30:00 AM,,1,Incubation,6,0,0,0,0,1,,1,0,0,,None,Wal-mart,1,1,banded today
175,STE 4 12,,3,5/31/2012,1,,11:00:00 PM,,1,Incubation,6,0,0,0,1,1,,1,0,0,,None,Wal-mart,1,0,
176,STE 4 12,,4,6/1/2012,1,,7:37:00 AM,,1,Incubation,6,0,0,0,1,1,,1,0,0,,None,Wal-mart,1,1,fist young today
177,STE DICK 4 12,,1,6/1/2012,1,,7:29:00 AM,,4,Incubation,3,0,1,0,0,0,,1,0,0,,None,NONE,1,1,
178,KLN ME 3 12,,0,5/24/2012,1,,10:15:00 AM,,0,Incubation,4,0,3,0,0,0,,1,0,0,,None,NONE,1,1,found nest
179,KLN ME 3 12,,1,5/28/2012,1,,2:08:00 PM,,4,Incubation,4,0,3,0,0,0,,1,0,0,,None,NONE,1,1,
180,KLN ME 3 12,,2,6/1/2012,1,,6:12:00 AM,,4,Incubation,4,0,3,0,0,0,,0,0,1,,UNK,NONE,0,1,smoked
181,KLN DICK 3 12,,0,5/31/2012,1,,11:30:00 AM,,0,Nestling,3,1,0,0,0,0,,1,0,0,,None,NONE,1,1,Found by Courtney
182,KLN ME 2 12,,0,5/24/2012,1,,8:50:00 AM,,0,Incubation,3,0,6,0,0,0,,1,0,0,,None,NONE,1,1,found nest
183,KLN ME 2 12,,1,5/28/2012,1,,2:50:00 PM,,4,Incubation,3,0,6,0,0,0,,1,0,0,,None,NONE,1,1,
184,KLN ME 2 12,,2,6/1/2012,1,,6:47:00 AM,,4,Incubation,3,0,6,0,0,0,,0,1,0,,None,NONE,0,1,check abandon- abandoned
185,KLN 2 12,,0,5/24/2012,1,,7:46:00 AM,,0,Nestling,1,3,0,0,0,0,,1,0,0,,None,NONE,1,1,found nest and placed camera today
186,KLN 2 12,,1,5/25/2012,1,,1:40:00 PM,,1,Nestling,1,3,0,0,0,1,,1,0,0,,None,Bullet,1,1,banded today
187,KLN 2 12,,2,5/26/2012,1,,11:00:00 PM,,1,Nestling,0,4,0,0,1,1,,1,0,0,,None,Bullet,1,0,
188,KLN 2 12,,3,5/27/2012,1,,11:00:00 PM,,1,Nestling,0,4,0,0,1,1,,1,0,0,,None,Bullet,1,0,
