visitID,Nest ID,Species,Visit Num,Date,Trials,Year,TimeofDay,Observers,Exposure days,Stage,Host Eggs,Host chicks,Parasite eggs,Parasite chicks,Banded,Camera,Measure,Survived,Abandoned,Predation,Fledge,EstFledglings,Predator,Camera type,Female on?,Human Visit,COMMENT
7914,235 DICK 2 21,DICK,2,6/11/21,,2021,6:24,TEC,,Incubating,2,0,4,0,,0,0,1,0,0,0,,,,0,,
4943,KLT DICK 17 14,DICK,0,6/9/14,1,2014,8:35:00 AM,,0,Abandoned,0,0,3,0,0,0,,0,1,0,,,None,NONE,0,1,KMM: Eggs cold and wet
7921,235 DICK 20 21,DICK,0,7/2/21,,2021,10:50,CER,,Incubating,3,0,2,0,,0,0,1,0,0,0,,,,0,,
7922,235 DICK 20 21,DICK,1,7/6/21,,2021,6:10,CER,,Incubating,3,0,3,0,,0,0,1,0,0,0,,,,0,,
7923,235 DICK 20 21,DICK,2,7/9/21,,2021,11:48,CER,,Incubating,3,0,3,0,,0,0,1,0,0,0,,,,1,,
7924,235 DICK 20 21,DICK,3,7/11/21,,2021,7:37,CER,,Incubating,3,0,3,0,,0,0,1,0,0,0,,,,0,,
7237,KLT DICK 2 14,DICK,4,5/26/14,1,2014,9:35:00 AM,,2,Dead,1,0,0,0,0,0,,0,1,0,,,None,NONE,0,1,Egg cold
7252,KLT DICK 20 14,DICK,3,6/20/14,1,2014,2:11:00 PM,,3,Abandoned,2,0,5,0,0,0,,0,1,0,,,None,NONE,0,1,"Abandoned, eggs cold and wet"
7833,235 DICK 21 21,DICK,1,7/6/21,,2021,7:15,CER,,Nestling,0,0,1,1,,0,0,0,0,0,0,,,,,,
7834,235 DICK 21 21,DICK,2,7/9/21,,2021,11:13,CER,,Nestling,0,0,1,1,,0,0,0,0,0,0,,,,,,
7835,235 DICK 21 21,DICK,3,7/11/21,,2021,7:02,CER,,Nestling,0,0,1,1,,1,0,0,0,0,0,,,,,,
7256,KLT DICK 25 14,DICK,4,6/23/14,1,2014,11:44:00 AM,,1,Dead,0,0,0,0,0,0,,0,0,1,,,UNK,NONE,0,1,
7779,235 DICK 3 21,DICK,0,6/5/21,,2021,9:05,"JEM,JNA",,Laying,0,0,4,0,,0,0,0,0,0,0,,,,0,,"female never seen on nest, so it is hard to know if eggs were incubated or not"
7780,235 DICK 3 21,DICK,1,6/8/21,,2021,6:17,"JEM,JNA",,Laying,0,0,4,0,,0,0,0,0,0,0,,,,0,,
7781,235 DICK 3 21,DICK,2,6/11/21,,2021,6:08,TEC,,Laying,0,0,4,0,,0,0,0,0,0,0,,,,0,,
7782,235 DICK 3 21,DICK,3,6/14/21,,2021,6:34,"CER,TEC",,Laying,0,0,4,0,,0,0,0,0,0,0,,,,0,,
7261,KLT DICK 30 14,DICK,3,6/23/14,1,2014,12:05:00 PM,,3,Abandoned,3,0,0,0,0,0,,0,1,0,,,None,NONE,0,1,Abandoned - eggs cold and looked dead when candled
7957,235 DICK 4 21,DICK,0,6/11/21,,2021,6:15,TEC,,Incubating,3,0,3,0,,0,0,1,0,0,0,,,,1,,
7958,235 DICK 4 21,DICK,1,6/14/21,,2021,6:39,"CER, TEC",,Incubating,3,0,3,0,,0,0,1,0,0,0,,,,1,,
7959,235 DICK 4 21,DICK,2,6/18/21,,2021,6:22,"JEM, MFM",,Incubating,3,0,3,0,,0,0,1,0,0,0,,,,1,,
7960,235 DICK 4 21,DICK,3,6/21/21,,2021,10:22,"CER, HKG",,Nestling,2,1,0,2,,0,0,1,0,0,0,,,,1,,"host egg on ground, unsure of young ID"
7961,235 DICK 4 21,DICK,4,6/23/21,,2021,10:49,CER,,Nestling,1,1,1,2,,0,0,1,0,0,0,,,,0,,check day??
7962,235 DICK 4 21,DICK,5,6/26/21,,2021,10:31,"WPT, HKG",,Nestling,1,1,2,2,,0,1,1,0,0,0,,,,0,,"measure - day 5?, chipping around"
7963,235 DICK 4 21,DICK,6,6/27/21,,2021,6:12,"JJC, HKG",,Nestling,1,1,2,2,,1,0,1,0,0,0,,,,1,,"film, day 6/7"
7964,235 DICK 4 21,DICK,7,6/27/21,,2021,11:30,WPT,,Nestling,1,1,2,2,,0,0,1,0,0,0,,,,0,,"male chipping, could not see female but chips from veg"
7965,235 DICK 4 21,DICK,8,6/27/21,,2021,6:50,"JJC, HKG",,Nestling,1,1,2,2,,0,0,1,0,0,0,,,,0,,"day 7 feeling jumpy, female chipping"
7966,235 DICK 4 21,DICK,9,6/28/21,,2021,11:56,"HKG, CER, WPT",,Nestling,1,1,2,2,,0,0,1,0,0,0,,,,0,,"female chipping, camera pick up"
7967,235 DICK 4 21,DICK,10,6/30/21,,2021,6:23,JEM,,Nestling,1,0,0,1,,0,0,1,0,0,1,1,,,0,,"check fledging, adults chipping - fixed error from data sheet (JJC)"
7798,235 DICK 5 21,DICK,1,6/12/21,,2021,8:22,"JJC, CER, TEC",,Nestling,0,0,0,3,,0,0,0,0,0,0,,,,1,,day 8 feathered
7262,KLT DICK 31 14,DICK,5,6/28/14,1,2014,9:00:00 AM,,3,Dead,0,0,0,0,0,0,,0,0,1,,,UNK,NONE,0,1,"Depredated, nest empty and fallen over, still some eggshell fragments, parents still chipping"
5039,KLT DICK 32 14,DICK,10,7/9/14,1,2014,1:00:00 PM,,2,Dead,0,0,0,0,0,0,,0,0,1,,,UNK,NONE,0,1,Male and female absent
7264,KLT DICK 34 14,DICK,5,7/6/14,1,2014,5:51:00 PM,,2,Dead,0,0,0,0,0,0,,0,0,1,,,UNK,NONE,0,1,
5057,KLT DICK 35 14,DICK,2,6/27/14,1,2014,11:15:00 AM,,2,Abandoned,3,0,4,0,0,0,,0,1,0,,,None,NONE,0,1,Eggs wet. No sign of M or F
7266,KLT DICK 36 14,DICK,6,7/7/14,1,2014,7:31:00 AM,,1,Dead,0,0,0,0,0,0,,0,0,1,,,Unk,NONE,0,1,No poop in nest but lots of chipping from both M and F. Hole in the bottom..?
7864,235 DICK 7 21 ,DICK,0,6/16/21,,2021,7:44,JJC,,Incubating,2,0,1,0,,0,0,1,0,0,0,,,,1,,
7865,235 DICK 7 21 ,DICK,1,6/19/21,,2021,6:07,MFM,,Incubating,3,0,1,0,,0,0,1,0,0,0,,,,1,,
7268,KLT DICK 38 14,DICK,8,7/10/14,1,2014,2:53:00 PM,,1,BHCO Fledge,0,0,0,0,0,0,,0,0,0,,,None,NONE,0,1,Female flushed as I approached but not necessarily from nest. F and M chipping from perches on edge of Ag
7845,235 DICK 8 21,DICK,0,6/18/21,,2021,6:38,MFM,,Incubating,1,0,0,0,,0,0,1,0,0,0,,,,1,,
7916,235 DICK 8 21,DICK,0,6/18/21,,2021,6:38,MFM,,Incubating,1,0,0,0,,0,0,1,0,0,0,,,,1,,
7846,235 DICK 8 21,DICK,1,6/21/21,,2021,10:14,"CER, HKG",,Incubating,0,0,2,0,,0,0,0,0,0,0,,,,1,,
7917,235 DICK 8 21,DICK,1,6/21/21,,2021,10:14,"CER, HKG",,Incubating,0,0,2,0,,0,0,0,0,0,0,,,,1,,
7847,235 DICK 8 21,DICK,2,6/23/21,,2021,10:53,"CER, HKG",,Incubating,0,0,2,0,,0,0,0,0,0,0,,,,0,,
7918,235 DICK 8 21,DICK,2,6/23/21,,2021,10:53,"CER, HKG",,Incubating,0,0,2,0,,0,0,0,0,0,0,,,,0,,
7848,235 DICK 8 21,DICK,3,6/27/21,,2021,11:26,WPT,,Incubating,0,0,1,0,,0,0,0,0,0,0,,,,0,,abandoned?
7919,235 DICK 8 21,DICK,3,6/27/21,,2021,11:26,WPT,,Incubating,0,0,1,0,,0,0,0,0,0,0,,,,0,,
7269,KLT DICK 39 14,DICK,2,6/29/14,1,2014,2:33:00 PM,,3,Dead,0,0,0,0,0,0,,0,0,1,,,UNK,NONE,0,1,Collected egg shell under nest
4859,KLT DICK 4 14,DICK,3,5/30/14,1,2014,11:57:00 AM,,2,Abandoned,2,0,0,0,0,0,,0,1,0,,,None,NONE,0,1,Didn’t see F
7701,235 EAKI 1 21,EAME,0,6/14/21,,2021,8:08,TEC,,Nestling,0,3,0,0,,0,0,1,0,0,0,,,,0,,day 1?
7702,235 EAKI 1 21,EAME,1,6/18/21,,2021,6:34,"TEC, JNA, JJC",,Nestling,0,3,0,0,,1,0,1,0,0,0,,,,0,,filmed
7703,235 EAKI 1 21,EAME,2,6/18/21,,2021,7:40,"TEC, JNA",,Nestling,0,3,0,0,,0,0,1,0,0,0,,,,1,,"raining, 1 ft flush"
7704,235 EAKI 1 21,EAME,3,6/19/21,,2021,6:17,"TEC, JNA",,Nestling,0,3,0,0,,0,0,1,0,0,0,,,,1,,"filmed, 1 ft flush"
7705,235 EAKI 1 21,EAME,4,6/30/21,,2021,7:03,CER,,Fledged,0,0,0,0,,0,0,0,0,0,1,3,,,0,,"check fledging, parents chipping - fledged?"
7687,235 EAME 1 21,EAME,0,5/31/21,,2021,8:30,"JJC, JEM",,Incubating,3,0,0,0,,0,0,1,0,0,0,,,,1,,
7688,235 EAME 1 21,EAME,1,6/3/21,,2021,10:57,"MFM, WPT",,Incubating,3,0,0,0,,0,0,1,0,0,0,,,,1,,checked
7689,235 EAME 1 21,EAME,2,6/7/21,,2021,10:31,"JJC, EJC",,Incubating,1,0,1,0,,0,0,1,0,0,0,,,,1,,flagging gone couldn't find nest - reflagged
7690,235 EAME 1 21,EAME,3,6/11/21,,2021,7:12,WPT,,Nestling,0,1,1,0,,0,0,1,0,0,0,,,,0,,
7691,235 EAME 1 21,EAME,4,6/14/21,,2021,7:25,"TEC, CER",,Nestling,0,1,1,0,,0,0,1,0,0,0,,,,0,,
7692,235 EAME 1 21,EAME,5,6/15/21,,2021,6:45,"CER, JJC",,Nestling,0,1,1,0,,0,0,1,0,0,0,,,,0,,cute baby :)
7693,235 EAME 1 21,EAME,6,6/15/21,,2021,11:50,"JJC, WPT",,Nestling,0,1,1,0,,0,0,1,0,0,0,,,,0,,
7694,235 EAME 1 21,EAME,7,6/15/21,,2021,7:50,"WPT, HKG",,Nestling,0,1,1,0,,0,1,1,0,0,0,,,,1,,measured
7695,235 EAME 1 21,EAME,8,6/16/21,,2021,8:30,JJC,,Nestling,0,1,1,0,,0,0,1,0,0,0,,,,0,,picture
7696,235 EAME 1 21,EAME,9,6/17/21,,2021,12:40,WPT,,Nestling,0,1,1,0,,0,0,1,0,0,0,,,,1,,"picture, flushed 30 meters"
7697,235 EAME 1 21,EAME,10,6/18/21,,2021,6:21,WPT,,Nestling,0,1,1,0,,0,0,1,0,0,0,,,,0,,picture - chick very jumpy waited 5 min chick still something
7698,235 EAME 1 21,EAME,11,6/19/21,,2021,6:08,WPT,,Fledged,0,0,0,0,,0,0,1,0,0,1,1,,,0,,"picture - be careful about force fledge, female ratling from fence 20m away when I approached but flushed >30m from me. No egg under in nest. Nest did not seem obviously disturbed - found fledgling 10cm from nest"
7699,235 EAME 2 21,EAME,0,6/22/21,,2021,10:06,"TEC, JJC, WPT",,Incubating,2,0,5,0,,0,0,1,0,0,0,,,,1,,
7270,KLT DICK 40 14,DICK,4,7/1/14,1,2014,6:03:00 PM,,2,Dead,0,0,2,0,0,0,,0,0,1,,,Unk,NONE,0,1,M and F chip but might be F of other nest
7631,235 GRSP 1 21 ,GRSP ,0,6/2/21,,2021,8:03,MFM,,Incubating,5,0,2,0,,0,0,1,0,0,0,,,,1,,
7632,235 GRSP 1 21 ,GRSP ,1,6/5/21,,2021,9:50,JNA,,Incubating,5,0,2,0,,0,0,1,0,0,0,,,,0,,
7633,235 GRSP 1 21 ,GRSP ,2,6/8/21,,2021,6:43,HKG,,Incubating,5,0,2,0,,0,0,1,0,0,0,,,,0,,
7634,235 GRSP 1 21 ,GRSP ,3,6/11/21,,2021,6:24,HKG,,Nestling,3,2,0,2,,0,0,1,0,0,0,,,,1,,day 2/3?
7271,KLT DICK 41 14,DICK,10,7/13/14,1,2014,7:12:00 AM,,1,BHCO Fledge,0,0,0,0,0,0,,0,0,0,,,None,NONE,0,1,Female chipping nearby
7649,235 GRSP 2 21,GRSP ,0,6/3/21,,2021,8:04,JNA,,Incubating,3,0,0,0,,0,0,1,0,0,0,,,,1,,
7650,235 GRSP 2 21,GRSP ,1,6/7/21,,2021,10:50,TEC,,Incubating,3,0,0,0,,0,0,1,0,0,0,,,,0,,
7651,235 GRSP 2 21,GRSP ,2,6/11/21,,2021,6:50,TEC,,Nestling,0,0,0,3,,0,0,0,0,0,0,,,,1,,3 days old?
7652,235 GRSP 2 21,GRSP ,3,6/12/21,,2021,7:20,"JJC, CER, TEC",,Nestling,0,0,0,3,,1,0,0,0,0,0,,,,0,,"film, day 4, chipping"
7653,235 GRSP 2 21,GRSP ,4,6/12/21,,2021,12:53,"TEC, JNA",,Nestling,0,0,0,3,,0,0,0,0,0,0,,,,0,,thermoregulating
7654,235 GRSP 2 21,GRSP ,5,6/14/21,,2021,6:20,"WPT, TEC, MFM",,Nestling,0,0,0,3,,1,1,0,0,0,0,,,,0,,"film, measure"
7655,235 GRSP 2 21,GRSP ,6,6/14/21,,2021,14:19,"JEM, JJC, WPT",,Nestling,0,0,0,3,,0,0,0,0,0,0,,,,0,,"JJC confirmed BHCO - pressure error, female chipping nearby"
7656,235 GRSP 2 21,GRSP ,7,6/16/21,,2021,6:24,"CER, ESK, MFM",,Nestling,0,0,0,2,,0,0,0,0,0,0,,,,0,,"check for fledging, one chick dead and mom chipping"
7272,KLT DICK 42 14,DICK,3,7/4/14,1,2014,9:45:00 AM,,3,Dead,0,0,0,0,0,0,,0,0,1,,,UNKNOWN,NONE,0,1,Same
7644,235 GRSP 3 21,GRSP ,0,6/8/21,,2021,7:36,JNA,,Nestling,0,5,0,0,,0,0,1,0,0,0,,,,1,,day 3/4?
7645,235 GRSP 3 21,GRSP ,1,6/10/21,,2021,9:30,JJC,,Nestling,0,5,0,0,,0,1,1,0,0,0,,,,1,,"film, day 6-7, measure"
7646,235 GRSP 3 21,GRSP ,2,6/10/21,,2021,15:01,WPT,,Nestling,0,5,0,0,,1,0,1,0,0,0,,,,1,,remove camera
7647,235 GRSP 3 21,GRSP ,3,6/11/21,,2021,6:20,WPT,,Nestling,0,5,0,0,,1,0,1,0,0,0,,,,0,,"film - small tripod not very stable (I am a little worried) -- female took 2+ hours to come back on June 10, so I put the camera a little further "
7648,235 GRSP 3 21,GRSP ,4,6/14/21,,2021,6:50,TEC,,Fledged,0,0,0,0,,0,0,1,0,0,1,5,,,1,,"check fledging, parents chipping"
7465,235 RWBL 2 21,RWBL,0,6/12/21,,2021,- ,"ESK, HKG",,Incubating,3,0,0,0,,0,0,1,0,0,0,,,,0,,"needs candled, label flag"
7466,235 RWBL 2 21,RWBL,1,6/16/21,,2021,6:37,"CER, ESK, MFM",,Incubating,4,0,0,0,,0,0,1,0,0,0,,,,0,,male chipping
7467,235 RWBL 2 21,RWBL,2,6/19/21,,2021,0:29,"ESK, HKF, CER",,Incubating,3,0,0,0,,0,0,1,0,0,0,,,,0,,check patch
7468,235 RWBL 2 21,RWBL,3,6/22/21,,2021,8:03,"JEM, HKG",,Incubating,3,0,0,0,,0,0,1,0,0,0,,,,0,,angry parents
7469,235 RWBL 2 21,RWBL,4,6/27/21,,2021,11:29,HKG,,Fledged,0,0,0,0,,0,0,1,0,0,1,3,,,0,,smoked? parents chipping
7588,235 RWBL 3 21,RWBL,0,6/12/21,,2021,11:07,CER ,,Nestling,0,1,0,0,,0,0,1,0,0,0,,,,0,,dead chick underneath nest - day 2
7273,KLT DICK 43 14,DICK,6,7/11/14,1,2014,7:05:00 AM,,2,Dead,0,0,0,0,0,0,,0,0,1,,,UNKNOWN,NONE,0,1,"Male chipping, didn’t see female"
7274,253 EAME 2 22,EAME,0,6/11/22,,2022,10:23,NGP,,Inactive,0,0,0,0,,0,0,N/A,N/A,N/A,N/A,,,,0,,probably old nest
6825,BSH DICK 1 16,DICK,0,5/29/16,1,2016,8:10:00 AM,,0,Building,0,0,0,0,0,0,,1,0,0,,,None,NONE,0,1,very early building stage; only a few strands of grass
6826,BSH DICK 1 16,DICK,1,6/2/16,1,2016,8:07:00 AM,,4,Laying,2,0,0,0,0,0,,1,0,0,,,None,NONE,1,1,
6827,BSH DICK 1 16,DICK,2,6/4/16,1,2016,2:02:00 PM,,2,Incubating,3,0,2,0,0,0,,1,0,0,,,None,NONE,0,1,
6828,BSH DICK 1 16,DICK,3,6/7/16,1,2016,6:47:00 AM,,3,Incubating,3,0,3,0,0,0,,1,0,0,,,None,NONE,1,1,
6829,BSH DICK 1 16,DICK,4,6/8/16,1,2016,8:22:00 AM,,1,Incubating,3,0,3,0,0,0,,1,0,0,,,None,NONE,1,1,
6830,BSH DICK 1 16,DICK,5,6/11/16,1,2016,2:55:00 PM,,3,Incubating,3,0,3,0,0,0,,1,0,0,,,None,NONE,0,1,
6831,BSH DICK 1 16,DICK,6,6/15/16,1,2016,11:14,,4,Nestling,0,3,3,0,0,0,,1,0,0,0,,None,NONE,1,1,
6832,BSH DICK 1 16,DICK,7,6/17/16,1,2016,7:40,,2,Nestling,0,3,0,2,0,1,,1,0,0,0,,None,Unk,0,1,
6833,BSH DICK 1 16,DICK,8,6/17/16,1,2016,10:31,,0,Nestling,0,3,0,2,0,0,,1,0,0,0,,None,NONE,0,1,
6834,BSH DICK 1 16,DICK,9,6/18/16,1,2016,7:00,,1,Nestling,0,3,0,2,0,1,,1,0,0,0,,None,Unk,0,1,
6835,BSH DICK 1 16,DICK,10,6/18/16,1,2016,15:49,,0,Nestling,0,3,0,2,1,0,,1,0,0,0,,None,NONE,0,1,
6836,BSH DICK 1 16,DICK,11,6/21/16,1,2016,9:02,,3,Nestling,0,2,0,0,0,0,,1,0,0,0,,None,NONE,0,1,1 dickcissel and 2 cowbirds fledged
6837,BSH DICK 1 16,DICK,12,6/23/16,1,2016,19:48,,2,Fledged,0,0,0,0,0,0,,1,0,0,1,3,None,NONE,0,1,other 2 dickcissels fledged
6887,BSH DICK 10 16,DICK,0,7/22/16,1,2016,9:23,,0,Nestling,1,1,0,1,0,0,,1,0,0,0,,None,NONE,1,,
6888,BSH DICK 10 16,DICK,1,7/22/16,1,2016,15:11,,0,Nestling,1,1,0,1,1,0,,1,0,0,0,,None,NONE,0,,
6889,BSH DICK 10 16,DICK,2,7/23/16,1,2016,6:56,,1,Nestling,1,1,0,1,0,1,,0,0,1,0,,Unk,Unk,1,,
7274,KLT DICK 44 14,DICK,2,7/1/14,1,2014,6:23:00 PM,,3,Dead,0,0,0,0,0,0,,0,0,1,,,UNKNOWN,NONE,0,1,What a terrible nest site; no one around
