Veg ID,Nest ID,Year,Direction,Distance,CSG,CSG w/FEAR,FEAR,WSG,SDV,FORB,LEGUME,WOOD,BARE,COVLIT,MaxHeight,LITDEPTH,LITDEPTH2,LITDEPTH3,Robel1,Robel2,Robel3,Robel4
111,KLN 11 11,,N,5,16,,16,63,,16,0,0,0,98,,11,,,4,6,4,5
112,KLN 11 11,,E,2,63,,38,38,,3,0,0,16,86,,2.75,,,4,3,3,4
113,KLN 11 11,,S,3,0,,0,63,,16,0,0,3,86,,3.5,,,3,5,4,5
114,KLN 11 11,,W,4,16,,0,86,,16,0,0,16,86,,3.5,,,3,4,6,5
115,KLN 11 11,,cup,0,0,,0,63,,3,0,0,0,38,,4.25,,,4,4,6,3
116,KLN 12 11,,N,8,38,,38,16,,16,0,0,63,16,,0,,,2,1,3,3
117,KLN 12 11,,E,7,16,,16,16,,0,16,0,63,16,,0,,,2,2,2,2
118,KLN 12 11,,S,9,3,,3,63,,16,16,0,38,38,,0,,,4,5,3,5
119,KLN 12 11,,W,6,16,,16,38,,16,16,0,38,38,,0,,,2,4,2,2
120,KLN 12 11,,N,3,16,,16,38,,38,16,0,38,16,,0,,,5,3,5,5
121,KLN 12 11,,E,4,16,,3,16,,16,16,0,63,16,,0,,,3,1,2,3
122,KLN 12 11,,S,2,3,,3,63,,38,16,0,38,38,,0,,,2,4,4,5
123,KLN 12 11,,W,1,3,,3,63,,16,16,0,38,38,,0,,,3,3,2,4
124,KLN 12 11,,cup,0,3,,0,63,,16,0,0,38,38,,0,,,5,5,4,4
125,KLN 13 11,,N,7,63,,63,16,,38,16,0,16,63,,4.5,,,4,5,4,4
126,KLN 13 11,,E,6,16,,16,38,,16,16,0,63,38,,0,,,1,1,1,1
127,KLN 13 11,,S,9,3,,0,63,,38,16,0,38,38,,0,,,3,3,4,3
128,KLN 13 11,,W,8,16,,16,63,,16,16,0,38,63,,0,,,4,3,2,4
129,KLN 13 11,,N,5,16,,16,63,,16,16,0,38,63,,0,,,3,5,3,4
130,KLN 13 11,,E,4,16,,0,63,,16,16,0,38,63,,0,,,3,3,1,4
131,KLN 13 11,,S,1,16,,16,63,,16,16,0,38,63,,0.25,,,6,2,3,3
132,KLN 13 11,,W,3,16,,16,38,,16,16,0,38,38,,0,,,2,2,2,2
133,KLN 13 11,,cup,0,3,,3,63,,16,16,0,38,63,,0,,,2,2,2,3
134,KLN 14 11,,N,6,16,,16,63,,38,3,0,16,63,,1,,,5,6,5,5
135,KLN 14 11,,E,7,0,,0,63,,16,0,0,38,38,,6.5,,,5,7,5,4
136,KLN 14 11,,S,9,16,,16,63,,16,3,0,38,16,,0,,,3,4,4,5
137,KLN 14 11,,W,8,16,,16,38,,16,16,0,63,16,,0,,,2,4,6,2
138,KLN 14 11,,N,5,16,,16,63,,16,0,0,3,86,,5.5,,,4,10,6,3
139,KLN 14 11,,E,4,0,,0,63,,38,0,0,16,63,,2.75,,,4,7,6,5
140,KLN 14 11,,S,3,16,,16,38,,16,3,0,38,38,,0,,,1,2,2,3
141,KLN 14 11,,W,1,3,,3,63,,38,3,0,38,38,,0,,,3,2,3,3
142,KLN 14 11,,cup,0,16,,3,63,,16,3,0,38,38,,0,,,3,3,3,2
143,KLN ME 1 11,,N,9,0,,0,63,,3,16,0,3,86,,5,,,4,2,3,1
144,KLN ME 1 11,,E,8,0,,0,86,,16,1,0,0,98,,13.25,,,4,4,3,3
145,KLN ME 1 11,,S,10,0,,0,86,,1,0,0,0,98,,15.75,,,4,4,5,4
146,KLN ME 1 11,,W,7,3,,0,63,,3,1,0,3,86,,3.25,,,3,2,3,3
147,KLN ME 1 11,,N,4,0,,0,63,,3,0,0,3,98,,6,,,3,2,3,4
148,KLN ME 1 11,,E,1,0,,0,63,,3,0,0,3,86,,7.75,,,4,3,3,2
149,KLN ME 1 11,,S,5,3,,3,63,,3,0,0,3,98,,10.75,,,4,2,3,3
150,KLN ME 1 11,,W,3,0,,0,63,,16,3,0,3,86,,10,,,2,2,3,3
151,KLN ME 1 11,,cup,0,0,,0,86,,3,0,0,0,98,,12.5,,,3,3,3,4
153,KLN ME 2 11,,N,10,38,,38,3,,38,0,0,38,38,,1.5,,,2,2,2,2
154,KLN ME 2 11,,E,7,63,,63,3,,63,0,0,3,86,,8.25,,,4,4,4,4
155,KLN ME 2 11,,S,8,63,,63,0,,16,16,0,3,86,,3,,,3,4,2,3
156,KLN ME 2 11,,W,9,38,,38,16,,38,3,0,16,86,,4.75,,,2,2,2,2
157,KLN ME 2 11,,N,3,38,,16,0,,38,0,0,16,86,,2.5,,,3,4,2,2
158,KLN ME 2 11,,E,5,63,,38,1,,38,3,0,16,86,,2.75,,,3,3,2,4
159,KLN ME 2 11,,S,2,63,,38,0,,38,3,0,3,86,,2.25,,,2,3,3,2
160,KLN ME 2 11,,W,1,38,,16,0,,38,3,0,3,86,,3,,,3,3,3,4
161,KLN ME 2 11,,cup,0,63,,16,0,,38,3,0,3,86,,3.5,,,2,3,2,3
162,KLN ME 3 11,,N,6,16,,16,38,,16,16,0,16,63,,2.5,,,2,2,2,2
163,KLN ME 3 11,,E,9,3,,3,38,,16,16,0,16,86,,1.75,,,2,2,2,2
164,KLN ME 3 11,,S,7,16,,16,38,,38,0,0,16,86,,4.5,,,3,3,2,2
165,KLN ME 3 11,,W,8,38,,16,16,,38,0,0,3,86,,2.25,,,2,2,3,2
166,KLN ME 3 11,,N,5,3,,3,38,,16,3,0,16,86,,2.5,,,2,2,2,2
167,KLN ME 3 11,,E,1,38,,38,16,,38,3,0,16,86,,5,,,3,3,3,2
168,KLN ME 3 11,,S,3,16,,0,63,,38,3,0,3,86,,5.5,,,3,3,2,2
169,KLN ME 3 11,,W,4,38,,16,38,,16,0,0,3,86,,5.5,,,3,1,2,2
170,KLN ME 3 11,,cup,0,16,,3,63,,38,3,0,3,86,,9.5,,,3,3,2,2
171,KLN ME 4 11,,N,9,3,,0,63,,38,0,0,16,63,,3,,,3,2,2,4
172,KLN ME 4 11,,E,10,16,,16,38,,38,3,0,3,86,,2.25,,,2,2,2,2
173,KLN ME 4 11,,S,6,3,,0,38,,63,0,0,16,63,,2.5,,,4,4,2,5
174,KLN ME 4 11,,W,7,3,,0,63,,63,1,0,16,63,,4.25,,,2,3,3,2
175,KLN ME 4 11,,N,3,3,,0,38,,38,0,0,38,38,,1.75,,,2,2,2,3
176,KLN ME 4 11,,E,4,16,,3,38,,38,0,0,63,16,,3.75,,,2,2,2,3
177,KLN ME 4 11,,S,2,16,,3,38,,38,3,0,38,38,,0,,,1,2,2,2
178,KLN ME 4 11,,W,1,16,,16,38,,38,3,0,16,63,,0.25,,,5,1,2,2
179,KLN ME 4 11,,cup,0,16,,0,63,,38,0,0,0,86,,6.75,,,2,4,4,3
180,KLN ME 5 11,,N,7,63,,38,0,,16,16,0,3,86,,0.25,,,4,3,4,3
181,KLN ME 5 11,,E,10,63,,38,0,,38,16,0,3,86,,3.75,,,3,5,4,4
182,KLN ME 5 11,,S,6,38,,3,0,,16,38,0,16,63,,1.25,,,1,2,2,2
183,KLN ME 5 11,,W,8,63,,16,0,,38,16,0,16,86,,11.25,,,5,4,3,3
184,KLN ME 5 11,,N,1,63,,38,0,,38,38,0,3,86,,2.75,,,5,6,5,1
185,KLN ME 5 11,,E,4,63,,63,0,,16,16,0,3,86,,2,,,2,4,4,4
186,KLN ME 5 11,,S,5,16,,16,16,,16,38,0,16,86,,2.25,,,4,3,2,2
187,KLN ME 5 11,,W,2,63,,16,0,,38,16,0,3,86,,4,,,2,2,2,2
188,KLN ME 5 11,,cup,0,63,,63,0,,16,16,0,0,86,,7.5,,,4,4,4,3
189,KLN ME 6 11,,N,10,63,,16,16,,38,16,0,0,86,,1.75,,,3,3,3,5
190,KLN ME 6 11,,E,8,86,,63,3,,1,16,0,3,63,,0.75,,,3,2,2,3
191,KLN ME 6 11,,S,6,63,,38,0,,16,16,0,16,63,,0,,,2,2,2,2
192,KLN ME 6 11,,W,9,63,,63,16,,16,38,0,3,63,,0,,,2,2,2,2
193,KLN ME 6 11,,N,1,63,,38,0,,3,38,0,16,63,,1.5,,,4,1,2,2
194,KLN ME 6 11,,E,3,63,,63,0,,3,38,0,3,86,,4,,,3,3,2,2
195,KLN ME 6 11,,S,5,63,,38,0,,3,38,0,16,63,,0.25,,,2,2,2,2
196,KLN ME 6 11,,W,4,86,,63,0,,16,16,0,16,38,,1,,,2,2,2,2
197,KLN ME 6 11,,cup,0,38,,3,63,,16,16,0,16,38,,1,,,3,2,2,3
198,KLN ME 7 11,,N,10,0,,0,63,,16,0,0,16,86,,10.75,,,5,5,7,7
199,KLN ME 7 11,,E,8,0,,0,86,,16,0,0,3,86,,5.25,,,6,8,7,8
200,KLN ME 7 11,,S,7,0,,0,86,,3,0,0,3,86,,8.75,,,5,5,6,8
201,KLN ME 7 11,,W,6,0,,0,86,,16,0,0,3,86,,20,,,7,8,8,6
202,KLN ME 7 11,,N,2,0,,0,63,,16,0,0,3,86,,9.75,,,5,4,6,4
203,KLN ME 7 11,,E,3,3,,0,63,,16,0,0,3,86,,6.25,,,6,5,6,6
204,KLN ME 7 11,,S,5,0,,0,63,,16,0,0,3,86,,6.5,,,6,6,4,6
205,KLN ME 7 11,,W,4,0,,0,63,,16,0,0,16,86,,16,,,9,7,6,8
206,KLN ME 7 11,,cup,0,0,,0,63,,16,0,0,3,86,,8.5,,,3,5,9,7
207,LEE 1 11,,N,10,63,,38,16,,38,3,0,3,86,,9.5,,,3,3,2,3
208,LEE 1 11,,E,7,63,,63,16,,38,3,0,3,86,,1.5,,,3,2,2,3
209,LEE 1 11,,S,9,63,,63,3,,16,16,0,3,86,,10.25,,,3,3,4,3
210,LEE 1 11,,W,8,63,,38,16,,38,3,0,3,86,,4.75,,,3,3,2,2
211,LEE 1 11,,N,4,63,,63,16,,16,3,0,3,86,,3.5,,,2,3,2,2
212,LEE 1 11,,E,5,38,,16,16,,38,3,0,3,86,,2.75,,,5,3,2,2
213,LEE 1 11,,S,2,38,,16,16,,63,3,0,3,86,,0.75,,,2,3,3,1
214,LEE 1 11,,W,1,63,,63,16,,38,1,0,3,86,,9.5,,,2,3,4,3
215,LEE 1 11,,cup,0,63,,63,16,,16,1,0,3,86,,5,,,2,2,3,3
216,LEE 2 11,,N,9,63,,63,3,,38,3,0,16,63,,0.75,,,3,4,3,2
217,LEE 2 11,,E,6,63,,63,16,,38,3,0,3,86,,7,,,5,4,3,5
218,LEE 2 11,,S,8,63,,63,0,,38,0,0,0,98,,14.5,,,4,5,4,5
219,LEE 2 11,,W,7,63,,63,3,,16,1,0,3,86,,9,,,4,3,4,4
220,LEE 2 11,,N,3,38,,38,63,,38,0,3,0,86,,7.25,,,4,3,3,3
221,LEE 2 11,,E,4,63,,63,16,,16,0,0,0,98,,2.25,,,3,2,2,2
222,LEE 2 11,,S,2,63,,63,16,,38,1,0,3,86,,1.5,,,2,2,3,2
223,LEE 2 11,,W,5,63,,63,3,,16,3,16,16,86,,5.5,,,2,2,2,4
224,LEE 2 11,,cup,0,63,,63,0,,16,0,0,0,86,,1.5,,,5,3,4,3
225,LEE 3 11,,N,10,63,,38,3,,63,0,0,3,86,,6.5,,,4,2,4,4
226,LEE 3 11,,E,7,63,,63,3,,38,0,0,0,98,,3.25,,,3,3,3,3
227,LEE 3 11,,S,6,63,,63,16,,38,3,0,3,86,,3,,,3,2,4,2
228,LEE 3 11,,W,8,63,,38,16,,38,16,0,16,86,,3.5,,,2,2,4,3
229,LEE 3 11,,N,4,63,,16,3,,38,3,16,3,86,,5,,,4,3,3,3
230,LEE 3 11,,E,1,63,,63,16,,63,0,0,3,86,,2.25,,,7,3,4,3
231,LEE 3 11,,S,2,38,,16,38,,63,0,0,3,86,,1.75,,,2,3,4,2
232,LEE 3 11,,W,5,63,,36,16,,38,3,0,3,86,,0.5,,,3,1,4,3
233,LEE 3 11,,cup,0,38,,38,3,,38,3,16,3,86,,3.5,,,5,2,4,2
234,LEE 4 11,,N,9,63,,16,1,,38,16,0,0,98,,0.75,,,6,3,3,4
235,LEE 4 11,,E,7,63,,16,3,,16,1,0,3,86,,4.25,,,5,3,3,3
236,LEE 4 11,,S,10,63,,38,3,,38,16,0,3,86,,0.5,,,2,4,3,2
237,LEE 4 11,,W,6,63,,16,0,,38,3,0,3,86,,8.25,,,5,8,4,3
238,LEE 4 11,,N,5,63,,16,0,,16,3,0,0,98,,3,,,4,5,4,4
239,LEE 4 11,,E,3,63,,16,0,,38,0,0,0,98,,11.5,,,4,3,5,3
240,LEE 4 11,,S,4,63,,16,3,,63,0,0,0,98,,5.25,,,5,5,3,5
241,LEE 4 11,,W,2,63,,3,3,,16,16,0,0,98,,3.5,,,3,3,3,2
242,LEE 4 11,,cup,0,63,,38,3,,16,3,0,0,98,,3.75,,,3,3,2,4
243,LEE 5 11,,N,6,63,,16,16,,16,3,0,3,86,,1.25,,,2,2,2,2
244,LEE 5 11,,E,10,16,,16,3,,3,38,0,16,63,,2,,,2,1,1,1
245,LEE 5 11,,S,8,63,,16,38,,63,3,0,3,86,,3.5,,,4,4,3,2
246,LEE 5 11,,W,9,63,,63,10,,38,0,0,3,86,,8,,,3,2,5,3
247,LEE 5 11,,N,4,63,,3,38,,38,1,0,0,86,,3.5,,,2,2,3,3
248,LEE 5 11,,E,1,63,,3,16,,38,3,0,3,86,,6.5,,,6,2,2,1
249,LEE 5 11,,S,2,63,,16,16,,38,3,0,3,86,,3.25,,,6,2,2,4
250,LEE 5 11,,W,3,63,,38,0,,16,0,0,0,86,,4.75,,,2,3,3,3
251,LEE 5 11,,cup,0,38,,38,3,,38,3,0,3,86,,5,,,4,1,3,3
252,LEE 6 11,,N,1,38,,3,16,,16,3,0,38,63,,3.25,,,2,2,3,2
253,LEE 6 11,,E,2,63,,63,3,,38,16,0,3,86,,1.25,,,2,3,2,4
254,LEE 6 11,,S,5,16,,16,38,,38,3,0,0,86,,6.25,,,3,3,2,4
255,LEE 6 11,,W,3,16,,16,63,,16,3,0,3,86,,9,,,4,5,3,4
256,LEE 6 11,,N,6,63,,38,0,,38,16,0,16,63,,6.5,,,3,4,2,3
257,LEE 6 11,,E,8,38,,3,16,,63,3,0,16,86,,2,,,1,3,2,4
258,LEE 6 11,,S,9,63,,38,16,,38,0,16,0,86,,16.75,,,6,5,5,4
259,LEE 6 11,,W,7,63,,63,16,,16,3,38,0,86,,6.25,,,4,4,5,6
260,LEE 6 11,,cup,0,38,,16,16,,16,3,0,3,86,,5.75,,,2,2,2,2
261,LEE 7 11,,N,5,63,,63,1,,16,1,0,0,86,,8,,,7,2,3,2
262,LEE 7 11,,E,2,38,,3,0,,38,3,0,16,63,,0.75,,,1,1,2,1
263,LEE 7 11,,S,1,63,,38,0,,38,3,0,0,86,,6.25,,,2,3,3,4
264,LEE 7 11,,W,3,63,,3,3,,38,0,0,0,86,,9,,,4,4,3,4
265,LEE 7 11,,N,6,63,,16,3,,38,16,0,0,86,,10,,,3,3,2,8
266,LEE 7 11,,E,10,38,,3,16,,38,0,16,3,86,,4.75,,,7,3,3,4
267,LEE 7 11,,S,7,63,,0,0,,38,0,0,0,86,,3,,,2,4,3,3
268,LEE 7 11,,W,8,63,,63,0,,16,0,0,0,98,,10.25,,,5,3,5,4
269,LEE 7 11,,cup,0,38,,16,0,,38,0,0,3,86,,4.5,,,3,3,1,1
270,LEE 8 11,,N,8,63,,38,16,,38,0,0,3,86,,3.5,,,2,8,2,2
271,LEE 8 11,,E,10,38,,16,16,,16,3,0,3,86,,4.75,,,2,5,2,2
272,LEE 8 11,,S,9,63,,38,16,,16,16,0,0,86,,6,,,2,2,3,3
273,LEE 8 11,,W,7,63,,63,0,,16,3,0,0,86,,5,,,3,2,1,2
274,LEE 8 11,,N,3,63,,38,3,,63,3,0,3,86,,3.25,,,4,4,5,3
275,LEE 8 11,,E,2,38,,3,3,,16,0,0,16,63,,0.75,,,1,1,2,1
276,LEE 8 11,,S,4,63,,16,0,,38,3,0,0,86,,3,,,3,2,2,2
277,LEE 8 11,,W,5,63,,63,0,,38,0,0,0,98,,11.25,,,4,2,3,4
278,LEE 8 11,,cup,0,63,,63,3,,38,3,0,3,86,,6,,,2,3,2,3
279,LEE 9 11,,N,9,63,,16,16,,38,0,0,3,86,,2.5,,,2,1,2,2
280,LEE 9 11,,E,6,38,,0,38,,38,0,0,0,86,,6.75,,,1,2,2,3
281,LEE 9 11,,S,8,38,,16,16,,63,3,0,0,86,,3,,,2,5,1,2
282,LEE 9 11,,W,10,86,,86,3,,38,0,3,0,98,,5.25,,,1,3,3,3
283,LEE 9 11,,N,4,38,,3,3,,16,0,0,0,86,,3.25,,,1,1,1,1
284,LEE 9 11,,E,3,63,,38,3,,16,0,0,3,86,,9.5,,,2,1,1,3
285,LEE 9 11,,S,5,63,,0,3,,63,3,0,3,86,,5.75,,,3,2,3,3
286,LEE 9 11,,W,2,38,,3,16,,16,3,0,3,86,,3,,,2,2,1,2
287,LEE 9 11,,cup,0,63,,16,16,,38,3,0,0,86,,7.5,,,2,2,3,2
288,LEE 10 11,,N,10,38,,38,0,,38,3,0,16,86,,5.75,,,1,1,1,1
289,LEE 10 11,,E,8,38,,0,0,,63,16,0,0,86,,3.5,,,2,1,2,2
290,LEE 10 11,,S,7,38,,0,3,,38,3,0,3,86,,1,,,2,3,2,1
291,LEE 10 11,,W,9,63,,63,0,,38,3,0,3,86,,4,,,2,1,2,4
292,LEE 10 11,,N,2,38,,3,3,,63,0,0,3,86,,4,,,2,4,2,2
293,LEE 10 11,,E,1,63,,63,0,,16,3,0,3,86,,2,,,1,2,1,2
294,LEE 10 11,,S,5,16,,3,3,,38,63,0,16,63,,1.25,,,1,1,1,1
295,LEE 10 11,,W,3,38,,16,0,,38,0,0,16,86,,1.25,,,2,1,1,1
296,LEE 10 11,,cup,0,38,,16,3,,38,3,0,0,86,,2.25,,,2,1,1,2
297,LEE 11 11,,N,9,3,,0,63,,16,3,0,0,86,,5.25,,,2,4,3,4
298,LEE 11 11,,E,10,3,,0,63,,38,1,0,0,86,,6,,,6,2,3,4
299,LEE 11 11,,S,8,3,,0,38,,38,3,0,3,86,,11,,,3,3,4,3
300,LEE 11 11,,W,7,0,,0,63,,38,3,0,0,86,,4.25,,,5,5,4,4
301,LEE 11 11,,N,2,3,,3,63,,38,3,0,0,86,,4.75,,,2,4,3,3
302,LEE 11 11,,E,3,3,,3,63,,38,16,0,3,86,,11.25,,,3,4,5,3
303,LEE 11 11,,S,1,16,,3,63,,16,38,0,3,86,,2,,,5,2,2,2
304,LEE 11 11,,W,4,3,,0,63,,38,16,0,16,86,,4.75,,,4,3,3,3
