Nest ID,Patch,Filming session,Nest ID (Session),Species,Year,Reviewer initials,# Hosts?,# BHCO?,Avg_Age_Days,Nestling_Age_Notes,Parents return?,Can see dipping/begging,Priority,Done,Data Collection Category,Comments
RIE DICK 2 21,,6/7/2021,RIE DICK 2 21 (1),DICK,2021,"CER, TEC",2,1,5,,,,High priority,1,Full data collection,Camera falls on nest
RIE RWBL 24 21,,7/2/2021,RIE RWBL 24 21 (1),RWBL,2021,TEC,3,0,7,,1,1,High priority,1,Full data collection,"TEC put ""1"" when one chick was fed multiple times, but it should have been ""2"""
RIE DICK 4 21,,6/9/2021,RIE DICK 4 21 (1),DICK,2021,"JNA, MFM",1,0,6,,,,High priority,1,Full data collection,
RIE DICK 6 21,,6/22/2021,RIE DICK 6 21 (2),DICK,2021,WPT,3,0,6,,1,1,High priority,1,Full data collection,"START TIME 6:15 (NEST SHEET), 0001, 3:30"
RIE DICK 6 21,,6/21/2021,RIE DICK 6 21 (1),DICK,2021,WPT,3,0,5,,1,1,Low priority,1,Full data collection,"start time 6:14M -11AM (NEST SHEET).  Very strong winds after clip 11 - vegetation covered most of nest, very challenging to score behavior.  I was able to only get arrival and departure of female for part of clip 11 and clip 12-14.  Clip 14 has only 17 minutes.

00001, 14:11"
RIE DICK 7 21,,6/7/2021,RIE DICK 7 21 (1),DICK,2021,"JNA, MFM",4,0,5.5,,,,High priority,1,Full data collection,
KLT BOBO 1 21,,6/14/2021,KLT BOBO 1 21 (2),BOBO,2021,,4,0,8,,1,1,Medium priority,,"Dipping 1/0, provisioning","00001, 2:36"
KLT BOBO 1 21,,6/13/2021,KLT BOBO 1 21 (1),BOBO,2021,MFM,4,0,7,,1,0,High priority,,"Dipping 1/0, provisioning","Clip2, 2:10"
RIE DICK 13 21,,44378,RIE DICK 13 21 (1),DICK,2021,WPT,3,0,4.5,,1,1,High priority,1,Full data collection,
RIE GRCA 1 21,,6/21/2021,RIE GRCA 1 21 (1),GRCA,2021,JJC,2,0,4,,1,1,High priority,1,Dipping 1/0,VERY CUTE
KLT DICK 1 21,,6/12/2021,KLT DICK 1 21 (1),DICK,2021,,1,1,7,,1,1,Do not use,,Do not use,"00009, 3:27"
KLT DICK 5 21,,7/2/2021,KLT DICK 5 21 (2),DICK,2021,,1,2,6.833333333,,1,1,Low priority,,Full data collection,
RIE GRSP 1 21,,6/1/2021,RIE GRSP 1 21 (2),GRSP,2021,"JNA, CER ",1,2,4.5,,,,High priority,1,Full data collection,
RIE RWBL 1 21,,6/11/2021,RIE RWBL 1 21 (1),RWBL,2021,TEC,1,0,4.5,,1,1,High priority,1,Full data collection,Could not find start time- Jaime will look into metadata
RIE RWBL 11 21,,6/5/2021,RIE RWBL 11 21 (2),RWBL,2021,HKG,4,0,6,,,,High priority,1,Full data collection,
KLT DICK 5 21,,7/1/2021,KLT DICK 5 21 (1),DICK,2021,,1,2,5.833333333,"6.5,6,5",1,1,High priority,,Full data collection,
RIE RWBL 13 21,,6/11/2021,RIE RWBL 13 21 (1),RWBL,2021,JNA,4,0,7,,1,,High priority,1,Full data collection,
RIE RWBL 17 21,,6/8/2021,RIE RWBL 17 21 (1),RWBL,2021,HKG,1,0,6,,,,High priority,1,Full data collection,
KLT EAME 2 21,,7/14/2021,KLT EAME 2 21 (1),EAME,2021,,2,2,4,,1,0.5,Low priority,,"Dipping 1/0, provisioning",
KLT RWBL 12 21,,6/27/2021,KLT RWBL 12 21 (1),RWBL,2021,ESK,4,0,5,,1,1,High priority,1,Full data collection,
RIE RWBL 7 21,,5/31/2021,RIE RWBL 7 21 (1),RWBL,2021,"CER, TEC",4,0,8,got from video -JJC,,,High priority,1,Full data collection,Clipped off 2 min of Clip 1 - Jaime said it was fine
RIE RWBL 7 21,,6/1/2021,RIE RWBL 7 21 (2),RWBL,2021,JNA,4,0,9,got from video -JJC,1,1,Low priority,1,Full data collection,
RIE RWBL 9 21,,6/9/2021,RIE RWBL 9 21 (1),RWBL,2021,HKG,3,0,6.5,,,,High priority,1,Full data collection,
235 DICK 12 21,,6/28/2021,235 DICK 12 21 (1),DICK,2021,TEC,1,1,5,,0,NA,Do not use,,Do not use,Parents never return
235 DICK 15 21,,7/11/2021,235 DICK 15 21 (1),DICK,2021,JNA,2,2,8,,1,,High priority,1,Full data collection,One host fledges during Clip 1
235 DICK 19 21,,7/18/2021,235 DICK 19 21 (1),DICK,2021,JNA,1,1,6,,1,,High priority,1,Full data collection,Adult BHCO visits
235 DICK 21 21,,7/11/2021,235 DICK 21 21 (1),DICK,2021,TEC,0,1,,,1,1,High priority,1,Full data collection,Access file labeled MFM_TEC because Molly started it and Thea finished it
235 DICK 4 21,,6/27/2021,235 DICK 4 21 (1),DICK,2021,ESK,1,2,6.5,,,,High priority,1,Full data collection,
235 DICK 4 21,,6/28/2021,235 DICK 4 21 (2),DICK,2021,JJC,1,2,7.5,,1,1,Low priority,1,Full data collection,so much male provisioning! 
GIL DICK 2 21,,7/11/2021,GIL DICK 2 21 (1),DICK,2021,JJC,3,0,5.5,,1,1,High priority,1,Full data collection,
KLT RWBL 10 21,,6/12/2021,KLT RWBL 10 21 (2),RWBL,2021,,3,0,6.666666667,"6,7,7",,,Low priority,,Full data collection,
KLT RWBL 16 21,,7/4/2021,KLT RWBL 16 21 (1),RWBL,2021,JJC,4,0,5.25,"5.5,5.5,5.5,4.5",1,1,High priority,,Full data collection,
KLT RWBL 19 21,,7/12/2021,KLT RWBL 19 21 (1),RWBL,2021,JJC,2,0,5.5,"5,6",1,1,High priority,1,Full data collection,
GIL FISP 1 21,,7/9/2021,GIL FISP 1 21 (1),FISP,2021,JNA,1,1,5.5,,1,0.75,High priority,1,"Dipping 1/0, provisioning",GIL FISP 1 21 (1)
GIL FISP 1 21,,7/11/2021,GIL FISP 1 21 (2),FISP,2021,,1,1,7.5,,1,1,do not use,,"Dipping 1/0, provisioning",
KLT RWBL 20 21,,7/5/2021,KLT RWBL 20 21 (2),RWBL,2021,WPT,3,0,5.666666667,"6,6,5",1,1,High priority,,Full data collection,
KLT RWBL 20 21,,7/4/2021,KLT RWBL 20 21 (1),RWBL,2021,,3,0,4.666666667,"5,5,4",1,0.01,Do not use,,Do not use,
KLT RWBL 3 21,,5/30/2021,KLT RWBL 3 21 (2),RWBL,2021,,3,0,3.5,"4,3.5,3",1,1,Low priority,,Full data collection,"2, 1:33"
KLT RWBL 6 21,,6/10/2021,KLT RWBL 6 21 (2),RWBL,2021,HKG,4,0,6,all 6s,1,1,High priority,,Full data collection,Note that session 1 and 2 were accidentally flipped - please keep this way. 
KLT RWBL 7 21,,5/31/2021,KLT RWBL 7 21 (2),RWBL,2021,,4,0,5,,,,Do not use,,Do not use,
KLT RWBL 9 21,,6/27/2021,KLT RWBL 9 21 (1),RWBL,2021,WPT,2,0,6.5,,1,1,High priority,,Full data collection,
RC2 DICK 16 16,,6/14/2016,RC2 DICK 16 16 (1),DICK,2016,JJC,4,0,5,,,,,,,
RIE RWBL 18 21,,6/14/2021,RIE RWBL 18 21 (1),RWBL,2021,WPT,4,0,4?,,1,0.5,High priority,1,Full data collection,"the angle of the video allos me to see the chicks only when begging, hard to follow the individual chicks or do dipping sometimes"
RIE BRTH 2 21,,6/28/2021,RIE BRTH 2 21 (1),BRTH,2021,WPT,3,0,6,,1,1,Low priority,,Dipping 1/0,Start time 5:;55 am (video)
RIE DICK 10 21,,6/28/2021,RIE DICK 10 21 (1),DICK,2021,JJC,2,0,5,,1,1,High priority,,Full data collection,
RIE DICK 4 16,,6/13/2016,RIE DICK 4 16 (3),DICK,2016,JJC,1,1,6,,,,,,,
RIE DICK 4 16,,6/12/2016,RIE DICK 4 16 (2),DICK,2016,JJC,2,1,5,,,,,,,
235 GRSP 2 21,,6/12/2021,235 GRSP 2 21 (1),GRSP,2021,CER,0,0,3,,1,1,High priority,,"Dipping 1/0, provisioning",birds heavily thermoregulating
RIE DICK 7 21,,6/8/2021,RIE DICK 7 21 (2),DICK,2021,,4,0,5.5,,1,1,Low priority,,Full data collection,"0001, 7:30"
RIE DICK 8 21,,6/21/2021,RIE DICK 8 21 (1),DICK,2021,,4,0,3,,1,0,Low priority,,"Dipping 1/0, provisioning",
RIE BRTH 2 21,,6/30/2021,RIE BRTH 2 21 (2),BRTH,2021,WPT,3,0,6,,1,1,High priority,1,Dipping 1/0,
RIE EAKI 1 21,,6/21/2021,RIE EAKI 1 21 (1),EAKI,2021,,3,0,2.5,,1,1,High priority,,"Dipping 1/0, provisioning","0001, 16:45"
RIE EAKI 1 21,,6/23/2021,RIE EAKI 1 21 (2),EAKI,2021,JJC,3,0,4.5,,,,Medium priority,,"Dipping 1/0, provisioning",
KLT RWBL 7 21,,6/1/2021,KLT RWBL 7 21 (1),RWBL,2021,TEC,4,0,6,,,,High priority,,Full data collection,Clip 13 missing on Thea's drive- Jaime will re-clip later and fill in Clip 13
RIE RWBL 23 21,,7/8/2021,RIE RWBL 23 21 (1),RWBL,2021,TEC,3,0,5,,1,1,High priority,1,Full data collection,
RIE GRCA 1 21,,6/23/2021,RIE GRCA 1 21 (2),GRCA,2021,,3,0,5,,,,Do not use,,Do not use,
RIE RWBL 11 21,,6/2/2021,RIE RWBL 11 21 (1),RWBL,2021,,4,0,4,,,,Low priority,,Full data collection,
RIE RWBL 26 21,,7/16/2021,RIE RWBL 26 21 (1),RWBL,2021,JNA,4,0,4,,1,1,High priority,1,Full data collection,snake nest!
RC2 DICK 38 16,,8/9/2016,RC2 DICK 38 16 (1),DICK,2016,JJC,2,0,5.5,,0,NA,,,,
RIE RWBL 18 21,,6/18/2021,RIE RWBL 18 21 (2),RWBL,2021,,4,0,6.833333333,"4,5.5,5.5,5.5",,,Low priority,,Full data collection,
BSH DICK 1 16,,6/17/2016,BSH DICK 1 16 (1),DICK,2016,JJC,3,2,3.2,"4 (DICK), 1-3 (BHCO)",not until clip 6,1,Do not use,,Do not use,
RIE GRSP 1 21,,5/30/2021,RIE GRSP 1 21 (1),GRSP,2021,JNA,1,2,2.5,,,,Medium priority,,"Dipping 1/0, provisioning",
RC2 DICK 38 16,,8/9/2016,RC2 DICK 38 16 (2),DICK,2016,JJC,2,0,6.5,6 or 7,0,NA,,,,
BSH DICK 3 16,,6/18/2016,BSH DICK 3 16 (1),DICK,2016,JJC,0,2,3.25,4 & 2-3,0,NA,Do not use,,Do not use,
BSH DICK 3 16,,6/19/2016,BSH DICK 3 16 (2),DICK,2016,JJC,0,2,4,5 & 3-4,0,NA,Do not use,,Do not use,
BSH DICK 9 16,,7/21/2016,BSH DICK 9 16 (1),DICK,2016,JJC,3,0,4,,0,NA,Do not use,,Do not use,
BSH DICK 9 16,,7/22/2016,BSH DICK 9 16 (2),DICK,2016,JJC,3,0,5,,0,NA,Do not use,,Do not use,
KLT DICK 26 16,,8/8/2016,KLT DICK 26 16 (2),DICK,2016,JJC,3,0,6-May,6-May,0,NA,,,,
KLT DICK 26 16,,8/7/2016,KLT DICK 26 16 (1),DICK,2016,JJC,3,0,5-Apr,5-Apr,0,NA,,,,
RIE DICK 60 16,,8/7/2016,RIE DICK 60 16 (2),DICK,2016,JJC,3,0,7,,0,NA,,,,
RIE DICK 60 16,,8/6/2016,RIE DICK 60 16 (1),DICK,2016,JJC,3,0,6,,0,NA,,,,
RIE DICK 51 16,,7/31/2016,RIE DICK 51 16 (2),DICK,2016,JJC,5,0,5.2,"2x day 6, 2x day 5, 1x day 4",,,,,,
RIE DICK 54 16,,7/31/2016,RIE DICK 54 16 (1),DICK,2016,JJC,2,0,4.5,4 & 5,,,,,,
RIE DICK 63 16,,7/31/2016,RIE DICK 63 16 (3),DICK,2016,JJC,4,0,5.75,"1x day 5, 3x day 6",,,,,,
RIE DICK 63 16,,7/30/2016,RIE DICK 63 16 (2),DICK,2016,JJC,4,0,4.75,"1x day 4, 3x day 5",,,,,,
RC2 DICK 32 16,,7/29/2016,RC2 DICK 32 16 (2),DICK,2016,JJC,3,0,5,,,,,,,
RIE DICK 51 16,,7/29/2016,RIE DICK 51 16 (1),DICK,2016,JJC,5,0,3.2,"2x day 4, 2x day 3, 1x day 2",,,,,,
RIE DICK 63 16,,7/29/2016,RIE DICK 63 16 (1),DICK,2016,JJC,4,0,3.75,"1x day 3, 3x day 4",,,,,,
RIE DICK 58 16,,7/28/2016,RIE DICK 58 16 (1),DICK,2016,JJC,1,1,5,,,,,,,Fecal sac in nest when camera picked up
KLT DICK 2 16,,6/5/2016,KLT DICK 2 16 (BUILDING),DICK,2016,JJC,0,0,,,1,0,,1,,Apparently filmed during nest building!
KLT DICK 23 16,,7/25/2016,KLT DICK 23 16 (2),DICK,2016,JJC,3,0,4.5,5-Apr,,,,,,
KLT DICK 20 16,,7/25/2016,KLT DICK 20 16 (2),DICK,2016,JJC,1,1,7,,,,,,,
RIE DICK 46 16,,7/25/2016,RIE DICK 46 16 (2),DICK,2016,JJC,3,0,6,,,,,,,
KLT DICK 20 16,,7/24/2016,KLT DICK 20 16 (1),DICK,2016,JJC,1,1,6,,,,,,,
KLT DICK 23 16,,7/24/2016,KLT DICK 23 16 (1),DICK,2016,JJC,3,0,3.5,4-Mar,,,,,,
RIE DICK 45 16,,7/24/2016,RIE DICK 45 16 (2),DICK,2016,JJC,2,1,5.5,6-May,,,,,,
RIE DICK 46 16,,7/24/2016,RIE DICK 46 16 (1),DICK,2016,JJC,3,0,5,,,,,,,
BSH DICK 10 16,,7/23/2016,BSH DICK 10 16 (1),DICK,2016,JJC,1,1,6,,1,0,,,,
KLT DICK 24 16,,7/23/2016,KLT DICK 24 16 (2),DICK,2016,JJC,0,2,5,,,,,,,
KLT DICK 18 16,,7/22/2016,KLT DICK 18 16 (2),DICK,2016,JJC,4,0,5,,,,,,,
KLT DICK 24 16,,7/22/2016,KLT DICK 24 16 (1),DICK,2016,JJC,0,2,4,,,,,,,
RIE DICk 45 16,,7/22/2016,RIE DICK 45 16 (1),DICK,2016,JJC,2,1,,4-Mar,,,,,,
KLT DICK 18 16,,7/21/2016,KLT DICK 18 16 (1),DICK,2016,JJC,4,0,4,,,,,,,
GIL DICK 3 16,,7/19/2016,GIL DICK 3 16 (2),DICK,2016,JJC,1,1,6,,,,,,,
GIL DICK 4 16,,7/19/2016,GIL DICK 4 16 (2),DICK,2016,JJC,2,0,6,,,,,,,
GIL DICK 5 26,,7/19/2016,GIL DICK 5 26 (1),DICK,2016,JJC,4,0,6,,,,,,,
RC2 DICK 32 16,,7/19/2016,RC2 DICK 32 16 (1),DICK,2016,JJC,3,0,4,,,,,,,
GIL DICK 3 16,,7/17/2016,GIL DICK 3 16 (1),DICK,2016,JJC,1,1,4,,,,,,,
GIL DICK 4 16,,7/17/2016,GIL DICK 4 16 (1),DICK,2016,JJC,2,0,4,,,,,,,
KLT DICK 15 16,,7/16/2016,KLT DICK 15 16 (1),DICK,2016,JJC,1,2,4,,0,NA,,,,Chicks dead and swarmed by ants by time camera picked up
RC2 DICK 28 16,,7/16/2016,RC2 DICK 28 16 (1),DICK,2016,JJC,0,1,4,,,,,,,
RC2 DICK 30 16,,7/15/2016,RC2 DICK 30 16 (2),DICK,2016,JJC,1,1,6,,,,,,,
RC2 DICK 30 16,,7/14/2016,RC2 DICK 30 16 (1),DICK,2016,JJC,1,1,5,,,,,,,
RIE DICK 50 16,,7/14/2016,RIE DICK 50 16 (2),DICK,2016,JJC,2,0,5,,,,,,,
RIE DICK 62 16,,7/14/2016,RIE DICK 62 16 (2),DICK,2016,JJC,1,0,5,,,,,,,
RIE DICK 50 16,,7/13/2016,RIE DICK 50 16 (1),DICK,2016,JJC,2,0,4,,,,,,,
RIE DICK 62 16,,7/13/2016,RIE DICK 62 16 (1),DICK,2016,JJC,1,0,4,,,,,,,
KLT DICK 13 16,,7/11/2016,KLT DICK 13 16 (2),DICK,2016,JJC,2,0,5,,,,,,,
RC2 DICK 27 16,,7/11/2016,RC2 DICK 27 16 (1),DICK,2016,JJC,0,1,4,,,,,,,
KLT DICK 13 16,,7/10/2016,KLT DICK 13 16 (1),DICK,2016,JJC,3,0,4,,,,,,,
RC2 DICK 21 16,,7/10/2016,RC2 DICK 21 16 (2),DICK,2016,JJC,1,0,6,,,,,,,
RIE DICK 21 16,,7/10/2016,RIE DICK 21 16 (2),DICK,2016,JJC,3,0,5,,,,,,,
RC2 DICK 21 16,,7/9/2016,RC2 DICK 21 16 (1),DICK,2016,JJC,1,0,5,,,,,,,
RIE DICK 21 16,,7/9/2016,RIE DICK 21 16 (1),DICK,2016,JJC,3,0,4,,,,,,,
RIE DICK 28 16,,7/9/2016,RIE DICK 28 16 (2),DICK,2016,JJC,3,0,5.5,6-May,,,,,,
RIE DICK 28 16,,7/8/2016,RIE DICK 28 16 (1),DICK,2016,JJC,3,0,4.5,5-Apr,,,,,,
RIE DICK 33 16,,7/8/2016,RIE DICK 33 16 (1),DICK,2016,JJC,4,0,4,,,,,,,
LTR DICK 4 16,,7/7/2016,LTR DICK 4 16 (2),DICK,2016,JJC,3,0,6,,,,,,,
KLT DICK 16 16,,7/6/2016,KLT DICK 16 26 (1),DICK,2016,JJC,4,0,6,7-May,,,,,,
LTR DICK 4 16,,7/6/2016,LTR DICK 4 16 (1),DICK,2016,JJC,3,0,5,,,,,,,
KLT DICK 9 16,,7/5/2016,KLT DICK 9 16 (2),DICK,2016,JJC,2,1,5,,,,,,,
RIE DICK 27 16,,7/5/2016,RIE DICK 27 16 (2),DICK,2016,JJC,3,1,5,,,,,,,
RIE DICK 41 16,,7/5/2016,RIE DICK 41 16 (1),DICK,2016,JJC,3,0,5,,,,,,,
RIE DICK 44 16,,7/5/2016,RIE DICK 44 16 (1),DICK,2016,JJC,2,0,6,,,,,,,
KLT DICK 9 16,,7/4/2016,KLT DICK 9 16 (1),DICK,2016,JJC,2,1,4,,,,,,,
LTR DICK 2 16,,7/4/2016,LTR DICK 2 16 (1),DICK,2016,JJC,3,0,6,,,,,,,
RIE DICK 27 16,,7/4/2016,RIE DICK 27 16 (1),DICK,2016,JJC,3,1,4,,,,,,,
RIE DICK 35 16,,7/4/2016,RIE DICK 35 16 (1),DICK,2016,JJC,3,0,4,,,,,,,2 chicks seemed dead and were gone when camera picked up
RIE DICK 29 16,,7/1/2016,RIE DICK 29 16 (1),DICK,2016,JJC,1,2,4,,,,,,,
RC2 DICK 12 16,,6/29/2016,RC2 DICK 12 16 (2),DICK,2016,JJC,2,2,6,,,,,,,
RIE DICK 10 16,,6/29/2016,RIE DICK 10 16 (2),DICK,2016,JJC,3,1,4,,,,,,,
RIE DICK 36 16,,6/29/2016,RIE DICK 36 16 (1),DICK,2016,JJC,4,0,7,,,,,,,
RC2 DICK 12 16,,6/28/2016,RC2 DICK 12 16 (1),DICK,2016,JJC,2,2,5,,,,,,,
RC2 DICK 17 16,,6/28/2016,RC2 DICK 17 16 (1),DICK,2016,JJC,2,0,6,5 & 7,,,,,,
RIE DICK 10 16,,6/28/2016,RIE DICK 10 16 (1),DICK,2016,JJC,3,1,3,,,,,,,
KLT DICK 2 16,,6/25/2016,KLT DICK 2 16 (2),DICK,2016,JJC,1,1,5,,,,,,,
KLT DICK 11 16,,6/24/2016,KLT DICK 11 (1),DICK,2016,JJC,2,1,,,,,,,,
RC2 DICK 19 16,,6/24/2016,RC2 DICK 19 16 (2),DICK,2016,JJC,0,1,4,,,,,,,
RC2 DICK 23 16,,6/24/2016,RC2 DICK 23 16 (2),DICK,2016,JJC,3,0,5,,,,,,,Seems that a chick was lost btwn camera set up and take down
RC2 DICK 19 16,,6/23/2016,RC2 DICK 19 16 (1),DICK,2016,JJC,0,1,3,,,,,,,
RC2 DICK 23 16,,6/23/2016,RC2 DICK 23 16 (1),DICK,2016,JJC,3,0,4,,,,,,,
BSH DICK 1 16,,6/18/2016,BSH DICK 1 16 (2),DICK,2016,JJC,3,2,4.5,"5 (DICK), 2-4 (BHCO)",1,1,,,,
RC2 DICK 8 16,,6/18/2016,RC2 DICK 8 16 (2),DICK,2016,JJC,4,0,5,,,,,,,
RC2 DICK 8 16,,6/17/2016,RC2 DICK 8 16 (1),DICK,2016,JJC,4,0,4,,,,,,,
RC2 DICK 11 16,,6/16/2016,RC2 DICK 11 16 (2),DICK,2016,JJC,4,0,4,,,,,,,
RC2 DICK 14 16,,6/16/2016,RC2 DICK 14 16 (3),DICK,2016,JJC,2,2,6,,,,,,,
RC2 DICK 11 16,,6/15/2016,RC2 DICK 11 16 (1),DICK,2016,JJC,4,0,3,,,,,,,
RC2 DICK 14 16,,6/15/2016,RC2 DICK 14 16 (2),DICK,2016,JJC,2,2,5,,,,,,,
RC2 DICK 16 16,,6/15/2016,RC2 DICK 16 16 (2),DICK,2016,JJC,2,1,6,,,,,,,"On 6/12 visit, 4 DICK chicks were recorded; uncertain on 6/14"
RC2 DICK 2 16,,6/15/2016,RC2 DICK 2 16 (1),DICK,2016,JJC,2,2,5,,,,,,,
RC2 DICK 14 16,,6/14/2016,RC2 DICK 14 16 (1),DICK,2016,JJC,2,2,4,,,,,,,
RC2 DICK 15 16,,6/14/2016,RC2 DICK 15 16 (1),DICK,2016,JJC,4,0,4,,,,,,,
RIE RWBL 24 21,,6/30/2021,RIE RWBL 24 21 (2),RWBL,2021,,3,0,3,,,,Low priority,,Full data collection,
RIE DICK 8 16,,6/14/2016,RIE DICK 8 16 (1),DICK,2016,JJC,3,2,3,,,,,,,
RIE DICK 11 16,,6/13/2016,RIE DICK 11 16 (3),DICK,2016,JJC,2,1,6,,,,,,,
RIN DICK 1 21,,7/13/2021,RIN DICK 1 21 (2),DICK,2021,,2,0,5,,1,1,Low priority,,Full data collection,
RIE DICK 11 16,,6/12/2016,RIE DICK 11 16 (2),DICK,2016,JJC,2,1,5,,,,,,,
RIN DICK 1 21,,7/12/2021,RIN DICK 1 21 (1),DICK,2021,JJC,3,0,4,,1,1,High priority,,Full data collection,
RIE DICK 11 16,,6/11/2016,RIE DICK 11 16 (1),DICK,2016,JJC,2,1,4,,,,,,,
RIE DICK 4 16,,6/11/2016,RIE DICK 4 16 (1),DICK,2016,JJC,2,1,4,,,,,,,
RC2 DICK 13 16,,6/10/2016,RC2 DICK 13 16 (2),DICK,2016,JJC,3,0,5,,,,,,,
RC2 DICK 13 16,,6/9/2016,RC2 DICK 13 16 (1),DICK,2016,JJC,3,0,4,,,,,,,
RC2 DICK 1 16,,6/6/2016,RC2 DICK 1 16 (2),DICK,2016,JJC,1,0,6.5,6 or 7,,,,,,
RC2 DICK 1 16,,6/5/2016,RC2 DICK 1 16 (1),DICK,2016,JJC,1,0,5.5,5 or 6,,,,,,
RC2 DICK 7 16,,6/1/2016,RC2 DICK 7 16 (2),DICK,2016,JJC,3,0,5,,,,,,,
RC2 DICK 7 16,,5/31/2016,RC2 DICK 7 16 (1),DICK,2016,JJC,4,0,4,,,,,,,
